image,xmin,ymin,xmax,ymax,class_name
2015_00401.jpg,109,23,201,120,bicycle
2015_00401.jpg,124,2,200,98,people
2015_00630.jpg,63,320,196,534,bicycle
2015_00630.jpg,350,347,397,422,motorbike
2015_00056.jpg,423,261,528,402,bicycle
2015_00056.jpg,259,269,338,414,bicycle
2015_00056.jpg,195,256,263,400,bicycle
2015_00056.jpg,100,248,176,408,motorbike
2015_00056.jpg,6,282,111,410,motorbike
2015_00056.jpg,149,270,208,333,table
2015_00056.jpg,134,243,196,272,table
2015_00609.jpg,67,17,820,542,bicycle
2015_00568.jpg,269,579,432,829,bicycle
2015_00521.jpg,274,211,574,397,bicycle
2015_00153.jpg,154,27,509,471,bicycle
2015_00471.jpg,293,296,403,429,bicycle
2015_00471.jpg,197,276,263,363,bicycle
2015_00471.jpg,246,277,284,338,bicycle
2015_00471.jpg,254,247,281,304,people
2015_00471.jpg,213,234,254,330,people
2015_00471.jpg,300,233,389,376,people
2015_03785.png,5,344,103,476,chair
2015_03785.png,37,350,112,441,table
2015_03785.png,279,323,367,411,bicycle
2015_01912.jpg,42,87,629,375,bus
2015_01913.jpg,159,50,539,375,bus
2015_01913.jpg,523,235,565,276,car
2015_01913.jpg,614,239,638,306,people
2015_01913.jpg,597,239,619,311,people
2015_03057.jpg,82,9,885,758,cat
2015_00218.jpg,209,81,437,198,bicycle
2015_00199.jpg,88,122,304,473,bicycle
2015_00199.jpg,92,1,295,394,people
2015_00199.jpg,2,269,141,457,bicycle
2015_00485.jpg,39,377,319,567,bicycle
2015_00485.jpg,192,323,240,360,car
2015_00485.jpg,337,349,373,388,chair
2015_00202.jpg,5,212,243,393,bicycle
2015_00202.jpg,196,205,328,301,bicycle
2015_00202.jpg,370,204,398,231,bicycle
2015_00022.jpg,71,159,275,474,bicycle
2015_00022.jpg,37,169,71,246,people
2015_04958.jpg,103,272,478,551,dog
2015_04958.jpg,460,265,785,556,dog
2015_00278.jpg,288,103,405,230,bicycle
2015_00278.jpg,298,5,381,198,people
2015_02413.jpg,217,366,267,394,car
2015_02413.jpg,256,366,340,421,car
2015_00412.jpg,73,301,345,604,bicycle
2015_00412.jpg,171,162,194,205,people
2015_00412.jpg,464,141,477,174,people
2015_00538.jpg,602,3,856,426,bicycle
2015_00538.jpg,542,148,676,410,bicycle
2015_00538.jpg,241,262,315,362,car
2015_00538.jpg,50,229,262,394,car
2015_03864.jpg,74,73,590,376,chair
2015_03844.jpg,363,75,628,420,chair
2015_00101.jpg,381,217,463,277,bicycle
2015_00662.jpg,425,479,595,599,boat
2015_00662.jpg,517,420,604,485,boat
2015_00662.jpg,131,528,313,627,people
2015_00662.jpg,244,478,390,566,people
2015_00662.jpg,332,453,445,512,people
2015_00662.jpg,426,427,515,469,people
2015_00213.jpg,9,265,109,344,bicycle
2015_00213.jpg,266,251,330,314,bicycle
2015_03829.jpg,219,86,553,417,chair
2015_00595.jpg,574,272,702,436,bicycle
2015_00595.jpg,300,258,334,344,people
2015_00595.jpg,345,250,393,335,people
2015_00595.jpg,449,269,476,331,people
2015_00595.jpg,478,258,507,331,people
2015_00595.jpg,18,268,131,382,bicycle
2015_00009.jpg,174,151,344,254,bicycle
2015_00009.jpg,346,154,467,252,bicycle
2015_00009.jpg,241,87,307,245,people
2015_00009.jpg,302,83,379,249,people
2015_04945.png,7,47,270,250,dog
2015_06280.jpg,84,343,202,598,people
2015_06280.jpg,237,330,314,486,people
2015_00405.jpg,279,227,336,264,bicycle
2015_00405.jpg,48,358,208,421,bicycle
2015_00405.jpg,457,219,621,279,car
2015_00405.jpg,307,212,324,249,people
2015_00405.jpg,274,206,293,245,people
2015_00405.jpg,294,212,320,268,people
2015_00405.jpg,370,206,399,265,people
2015_00405.jpg,376,226,417,312,people
2015_00405.jpg,432,219,484,311,people
2015_06347.jpg,161,218,292,569,people
2015_06347.jpg,160,137,287,516,people
2015_06347.jpg,2,190,43,338,people
2015_06347.jpg,34,186,77,341,people
2015_06347.jpg,55,192,107,374,people
